STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        403;17390601;17390630;    5;  -999;  14.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390701;17390731;    5;  -999;  18.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390801;17390831;    5;  -999;  14.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17390901;17390930;    5;  -999;  15.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17391001;17391031;    5;  -999;   4.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17391101;17391130;    5;  -999;  -2.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17391201;17391231;    5;  -999;   1.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400101;17400131;    5;  -999;  -8.50;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400201;17400229;    5;  -999;  -7.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400301;17400331;    5;  -999;  -0.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400401;17400430;    5;  -999;   3.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400501;17400531;    5;  -999;   8.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400601;17400630;    5;  -999;  13.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400701;17400731;    5;  -999;  16.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400801;17400831;    5;  -999;  15.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17400901;17400930;    5;  -999;  15.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17401001;17401031;    5;  -999;   4.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
